,id,text,created_at,retweet_count,user_screen_name,user_followers_count,user_location,Hashtags
0,1368826927906193408,"RT @Ahmet_Y_Orak_RT: Bugün yeni bir gün yeni bir hafta 
bu yeni haftanın herkese 
yeni güzellikler getirmesi dileğiyle 
iyi haftalar

#Hayı…",2021-03-08 07:32:25,5,tekaskcimbom34,3700,,[]
1,1368826926119452674,RT @Konyakaraman1: Yeni başladığımız hafta tüm sevdiklerime huzur mutluluk ve kazançlarına bereket getirsin Yüzünüzden gülümseme hiç eksik…,2021-03-08 07:32:25,4,tekaskcimbom34,3700,,[]
2,1368826922713616385,"RT @Ergn_grbz: “Selâmun Aleykûm 
Allah sağlık huzur versin kazasız belasız iyi haftalar bereketli işler umudunuz hiç  eksik olmasın...”

#H…",2021-03-08 07:32:24,7,tekaskcimbom34,3700,,[]
3,1368826916342480897,"Bizim de içimiz kan ağladı, yine de gelip dersimize girdik 😩 #HayırlıHaftalar #pazartesi #8MartDunyaEmekciKadinlarGunu",2021-03-08 07:32:23,0,birgaripkizce,15,"Antalya, Türkiye","[{'text': 'HayırlıHaftalar', 'indices': [61, 77]}, {'text': 'pazartesi', 'indices': [78, 88]}, {'text': '8MartDunyaEmekciKadinlarGunu', 'indices': [89, 118]}]"
4,1368826911250669568,"RT @Peri_Ak_Reis: Selam Vermek sünnet almak farzdır Selamün Aleyküm Gunaydın 
#Pazartesi",2021-03-08 07:32:21,28,KiymetLazkizi,649,,"[{'text': 'Pazartesi', 'indices': [78, 88]}]"
5,1368826889662574593,"RT @__butterflyy: “Bir kadın, erkek gibi yok edici olamaz. Çünkü bir insan doğurmanın ve yetiştirmenin ne demek olduğunu bilir...🍀

Sayfamd…",2021-03-08 07:32:16,1,cahilcuheladeli,185,,[]
6,1368826881185902596,RT @zeybekselcuk1: Bu trafiği İstanbul da bile görmedim ben.. günaydın... #pazartesi,2021-03-08 07:32:14,2,bluedream__44_2,877,𝒢𝒶𝓁𝒶𝓉𝒶 💙🖤,"[{'text': 'pazartesi', 'indices': [74, 84]}]"
7,1368826868087062533,"RT @ceyhan_ulus: Dar alanda İttifak üyelerinin kısa paslaşmaları!
#8MartDünyaKadınlarGünü
#pazartesi https://t.co/FZzBooVUk2",2021-03-08 07:32:11,4,enescelik42,930,Papenburg / Konya / İstanbul,"[{'text': '8MartDünyaKadınlarGünü', 'indices': [66, 89]}, {'text': 'pazartesi', 'indices': [90, 100]}]"
8,1368826867055267844,"RT @sondirG27: #EsseLamuALeyküm 

Yeni Güne 
Yeni Haftaya 
Bismillah Kazasız BeLasız 
YA İLAHİ
Akibetimizi Hayr Eyle.
Ahlakımızı Güzel Eyle…",2021-03-08 07:32:11,75,Temel_06_66,2823,,"[{'text': 'EsseLamuALeyküm', 'indices': [15, 31]}]"
9,1368826866161905664,"RT @otdergi: Kadının özgürlüğü, toplumun özgürlüğünün temelidir. #RosaLuxemburg #OTdergi #8MartDünyaKadınlarGünü #Pazartesi https://t.co/Ft…",2021-03-08 07:32:11,40,tulinnbulutt,52,,"[{'text': 'RosaLuxemburg', 'indices': [65, 79]}, {'text': 'OTdergi', 'indices': [80, 88]}, {'text': '8MartDünyaKadınlarGünü', 'indices': [89, 112]}, {'text': 'Pazartesi', 'indices': [113, 123]}]"
